Level	Rule Name	Subject	Property	Value
ERROR	duplicate_label	transport equipment role	rdfs:label	transport equipment role@en
ERROR	duplicate_label	business process	rdfs:label	transport equipment role@en
ERROR	missing_ontology_description	https://w3id.org/pmd/ao/log.owl	dc:description	
ERROR	missing_ontology_license	https://w3id.org/pmd/ao/log.owl	dc:license	
ERROR	multiple_labels	industrial inventory	rdfs:label	cargo@en
ERROR	multiple_labels	industrial inventory	rdfs:label	industrial inventory@en
ERROR	multiple_labels	department	rdfs:label	Abteilung@de
ERROR	multiple_labels	department	rdfs:label	department@en
ERROR	multiple_labels	laboratory	rdfs:label	Labor@de
ERROR	multiple_labels	laboratory	rdfs:label	laboratory@en
ERROR	multiple_labels	transportation service	rdfs:label	consigning process@en
ERROR	multiple_labels	transportation service	rdfs:label	transportation service@en
ERROR	multiple_labels	manufacturing service	rdfs:label	freight forwarding process@en
ERROR	multiple_labels	manufacturing service	rdfs:label	manufacturing service@en
ERROR	multiple_labels	business process	rdfs:label	business process@en
ERROR	multiple_labels	business process	rdfs:label	transport equipment role@en
WARN	missing_definition	industrial inventory role	IAO:0000115	
WARN	missing_definition	agreement	IAO:0000115	
WARN	missing_definition	commercial service agreement	IAO:0000115	
WARN	missing_definition	bill of lading	IAO:0000115	
WARN	missing_definition	transport equipment role	IAO:0000115	
WARN	missing_definition	purchase order	IAO:0000115	
WARN	missing_definition	lot number	IAO:0000115	
WARN	missing_definition	organization identifier	IAO:0000115	
WARN	missing_definition	part number	IAO:0000115	
WARN	missing_definition	physical location identifier	IAO:0000115	
WARN	missing_definition	global location number	IAO:0000115	
WARN	missing_definition	location identification scheme	IAO:0000115	
WARN	missing_definition	customer	IAO:0000115	
WARN	missing_definition	agent	IAO:0000115	
WARN	missing_definition	buyer	IAO:0000115	
WARN	missing_definition	consignee	IAO:0000115	
WARN	missing_definition	consignor	IAO:0000115	
WARN	missing_definition	distributor	IAO:0000115	
WARN	missing_definition	freight forwarder	IAO:0000115	
WARN	missing_definition	manufacturer	IAO:0000115	
WARN	missing_definition	retailer	IAO:0000115	
WARN	missing_definition	shipper	IAO:0000115	
WARN	missing_definition	supplier	IAO:0000115	
WARN	missing_definition	carrier	IAO:0000115	
WARN	missing_definition	service provider	IAO:0000115	
WARN	missing_definition	supply chain agent	IAO:0000115	
WARN	missing_definition	wholesaler	IAO:0000115	
WARN	missing_definition	industrial inventory	IAO:0000115	
WARN	missing_definition	load	IAO:0000115	
WARN	missing_definition	maintainable material item	IAO:0000115	
WARN	missing_definition	material component	IAO:0000115	
